Cultivar,Seed Yield,Irrigation
Cultivar 1,3750,Full
Cultivar 1,3800,Deficit
Cultivar 1,3250,Deficit
Cultivar 1,,
Cultivar 1,3450,Deficit
Cultivar 1,3650,Full
Cultivar 1,3625,Deficit
Cultivar 1,4675,Full
Cultivar 1,3475,
Cultivar 1,4250,
Cultivar 1,3300,
Cultivar 1,3700,
Cultivar 1,3200,Deficit
Cultivar 1,3800,Full
Cultivar 1,4400,Full
Cultivar 1,3700,Deficit
Cultivar 1,3450,Deficit
Cultivar 1,4500,Full
Cultivar 1,3325,Deficit
Cultivar 1,4200,Full
Cultivar 1,3400,Deficit
Cultivar 1,3600,Full
Cultivar 1,3800,Deficit
Cultivar 1,3950,Full
Cultivar 1,3800,Full
Cultivar 1,3800,Deficit
Cultivar 1,3550,Full
Cultivar 1,3200,Deficit
Cultivar 1,3150,Deficit
Cultivar 1,3950,Full
Cultivar 1,3250,Deficit
Cultivar 1,3900,Full
Cultivar 1,3300,Deficit
Cultivar 1,3900,Full
Cultivar 1,3325,Deficit
Cultivar 1,4150,Full
Cultivar 1,3950,Full
Cultivar 1,3550,Deficit
Cultivar 1,3300,Deficit
Cultivar 1,4650,Full
Cultivar 1,3150,Deficit
Cultivar 1,3900,Full
Cultivar 1,3100,Deficit
Cultivar 1,4400,Full
Cultivar 1,3000,Deficit
Cultivar 1,4600,Full
Cultivar 1,3425,Full
Cultivar 1,2975,
Cultivar 1,3450,Deficit
Cultivar 1,4150,Full
Cultivar 1,3500,Deficit
Cultivar 1,4300,Full
Cultivar 1,3450,Deficit
Cultivar 1,4050,Full
Cultivar 1,2900,Deficit
Cultivar 1,3700,Full
Cultivar 1,3550,Deficit
Cultivar 1,3800,Full
Cultivar 1,2850,Deficit
Cultivar 1,3750,Full
Cultivar 1,3150,Deficit
Cultivar 1,4400,Full
Cultivar 1,3600,Deficit
Cultivar 1,4050,Full
Cultivar 1,2850,Deficit
Cultivar 1,3950,Full
Cultivar 1,3350,Deficit
Cultivar 1,4100,Full
Cultivar 1,3050,Deficit
Cultivar 1,4450,Full
Cultivar 1,3600,Deficit
Cultivar 1,3900,Full
Cultivar 1,3550,Deficit
Cultivar 1,4150,Full
Cultivar 1,3700,Deficit
Cultivar 1,4250,Full
Cultivar 1,3700,Deficit
Cultivar 1,3900,Full
Cultivar 1,3550,Deficit
Cultivar 1,4000,Full
Cultivar 1,3200,Deficit
Cultivar 1,4700,Full
Cultivar 1,3800,Deficit
Cultivar 1,4200,Full
Cultivar 1,3350,Deficit
Cultivar 1,3550,Full
Cultivar 1,3800,Full
Cultivar 1,3500,Deficit
Cultivar 1,3950,Full
Cultivar 1,3600,Deficit
Cultivar 1,3550,Deficit
Cultivar 1,4300,Full
Cultivar 1,3400,Deficit
Cultivar 1,4450,Full
Cultivar 1,3300,Deficit
Cultivar 1,4300,Full
Cultivar 1,3700,Deficit
Cultivar 1,4350,Full
Cultivar 1,2900,Deficit
Cultivar 1,4100,Full
Cultivar 1,3725,Deficit
Cultivar 1,4725,Full
Cultivar 1,3075,Deficit
Cultivar 1,4250,Full
Cultivar 1,2925,Deficit
Cultivar 1,3550,Full
Cultivar 1,3750,Deficit
Cultivar 1,3900,Full
Cultivar 1,3175,Deficit
Cultivar 1,4775,Full
Cultivar 1,3825,Deficit
Cultivar 1,4600,Full
Cultivar 1,3200,Deficit
Cultivar 1,4275,Full
Cultivar 1,3900,Deficit
Cultivar 1,4075,Full
Cultivar 1,2900,Deficit
Cultivar 1,3775,Full
Cultivar 1,3350,Deficit
Cultivar 1,3325,Full
Cultivar 1,3150,Deficit
Cultivar 1,3500,Full
Cultivar 1,3450,Deficit
Cultivar 1,3875,Full
Cultivar 1,3050,Deficit
Cultivar 1,4000,Full
Cultivar 1,3275,Deficit
Cultivar 1,4300,Full
Cultivar 1,3050,Deficit
Cultivar 1,4000,Full
Cultivar 1,3325,Deficit
Cultivar 1,3500,Full
Cultivar 1,3500,Deficit
